id,original_review,label,sentiment,cleaned_review,summary,predicted_sentiment,feedback_on_plot,feedback_on_acting,feedback_on_cinematography,feedback_on_soundtrack,useful_feedback
9976970,아 더빙.. 진짜 짜증나네요 목소리,0,negative,아 더빙.. 진짜 짜증나네요 목소리,아 더빙.. 진짜 짜증나네요 목소리,0 (0.999),진짜 짜증나네요 목소리 / 관련도 점수: 0.505,,,진짜 짜증나네요 목소리 / 관련도 점수: 0.362,"이 리뷰는 plot, soundtrack에 대한 의견을 포함하며, 전체 감성은 0로 분석되었습니다. 핵심 의견: 아 더빙.. 진짜 짜증나네요 목소리"
3819312,흠...포스터보고 초딩영화줄....오버연기조차 가볍지 않구나,1,positive,흠...포스터보고 초딩영화줄....오버연기조차 가볍지 않구나,흠...포스터보고 초딩영화줄....오버연기조차 가볍지 않구나,1 (0.993),흠 / 관련도 점수: 0.368 | 포스터보고 초딩영화줄 / 관련도 점수: 0.814 | 오버연기조차 가볍지 않구나 / 관련도 점수: 0.732,오버연기조차 가볍지 않구나 / 관련도 점수: 0.969,포스터보고 초딩영화줄 / 관련도 점수: 0.987 | 오버연기조차 가볍지 않구나 / 관련도 점수: 0.733,오버연기조차 가볍지 않구나 / 관련도 점수: 0.527,"이 리뷰는 plot, acting, cinematography, soundtrack에 대한 의견을 포함하며, 전체 감성은 1로 분석되었습니다. 핵심 의견: 흠...포스터보고 초딩영화줄....오버연기조차 가볍지 않구나"
10265843,너무재밓었다그래서보는것을추천한다,0,negative,너무재밓었다그래서보는것을추천한다,너무재밓었다그래서보는것을추천한다,1 (0.586),,너무재밓었다그래서보는것을추천한다 / 관련도 점수: 0.552,너무재밓었다그래서보는것을추천한다 / 관련도 점수: 0.494,,"이 리뷰는 acting, cinematography에 대한 의견을 포함하며, 전체 감성은 1로 분석되었습니다. 핵심 의견: 너무재밓었다그래서보는것을추천한다"
9045019,교도소 이야기구먼 ..솔직히 재미는 없다..평점 조정,0,negative,교도소 이야기구먼 ..솔직히 재미는 없다..평점 조정,교도소 이야기구먼 ..솔직히 재미는 없다..평점 조정,0 (0.999),교도소 이야기구먼 / 관련도 점수: 0.981 | 솔직히 재미는 없다 / 관련도 점수: 0.637,,,,"이 리뷰는 plot에 대한 의견을 포함하며, 전체 감성은 0로 분석되었습니다. 핵심 의견: 교도소 이야기구먼 ..솔직히 재미는 없다..평점 조정"
6483659,사이몬페그의 익살스런 연기가 돋보였던 영화!스파이더맨에서 늙어보이기만 했던 커스틴 던스트가 너무나도 이뻐보였다,1,positive,사이몬페그의 익살스런 연기가 돋보였던 영화!스파이더맨에서 늙어보이기만 했던 커스틴 던스트가 너무나도 이뻐보였다,사이몬페그의 익살스런 연기가 돋보였던 영화!스파이더맨에서 늙어보이기만 했던 커스틴 던스트가 너무나도 이뻐보였다,1 (0.999),사이몬페그의 익살스런 연기가 돋보였던 영화 / 관련도 점수: 0.867 | 스파이더맨에서 늙어보이기만 했던 커스틴 던스트가 너무나도 이뻐보였다 / 관련도 점수: 0.649,사이몬페그의 익살스런 연기가 돋보였던 영화 / 관련도 점수: 0.999 | 스파이더맨에서 늙어보이기만 했던 커스틴 던스트가 너무나도 이뻐보였다 / 관련도 점수: 0.816,사이몬페그의 익살스런 연기가 돋보였던 영화 / 관련도 점수: 0.988 | 스파이더맨에서 늙어보이기만 했던 커스틴 던스트가 너무나도 이뻐보였다 / 관련도 점수: 0.83,스파이더맨에서 늙어보이기만 했던 커스틴 던스트가 너무나도 이뻐보였다 / 관련도 점수: 0.416,"이 리뷰는 plot, acting, cinematography, soundtrack에 대한 의견을 포함하며, 전체 감성은 1로 분석되었습니다. 핵심 의견: 사이몬페그의 익살스런 연기가 돋보였던 영화!스파이더맨에서 늙어보이기만 했던 커스틴 던스트가 너무나도 이뻐보였다"
5403919,막 걸음마 뗀 3세부터 초등학교 1학년생인 8살용영화.ㅋㅋㅋ...별반개도 아까움.,0,negative,막 걸음마 뗀 3세부터 초등학교 1학년생인 8살용영화....별반개도 아까움.,막 걸음마 뗀 3세부터 초등학교 1학년생인 8살용영화....별반개도 아까움.,0 (1.0),막 걸음마 뗀 3세부터 초등학교 1학년생인 8살용영화 / 관련도 점수: 0.501,,막 걸음마 뗀 3세부터 초등학교 1학년생인 8살용영화 / 관련도 점수: 0.922,,"이 리뷰는 plot, cinematography에 대한 의견을 포함하며, 전체 감성은 0로 분석되었습니다. 핵심 의견: 막 걸음마 뗀 3세부터 초등학교 1학년생인 8살용영화....별반개도 아까움."
7797314,원작의 긴장감을 제대로 살려내지못했다.,0,negative,원작의 긴장감을 제대로 살려내지못했다.,원작의 긴장감을 제대로 살려내지못했다.,0 (0.999),원작의 긴장감을 제대로 살려내지못했다 / 관련도 점수: 0.979,원작의 긴장감을 제대로 살려내지못했다 / 관련도 점수: 0.65,원작의 긴장감을 제대로 살려내지못했다 / 관련도 점수: 0.753,,"이 리뷰는 plot, acting, cinematography에 대한 의견을 포함하며, 전체 감성은 0로 분석되었습니다. 핵심 의견: 원작의 긴장감을 제대로 살려내지못했다."
9443947,별 반개도 아깝다 욕나온다 이응경 길용우 연기생활이몇년인지..정말 발로해도 그것보단 낫겟다 납치.감금만반복반복..이드라마는 가족도없다 연기못하는사람만모엿네,0,negative,별 반개도 아깝다 욕나온다 이응경 길용우 연기생활이몇년인지..정말 발로해도 그것보단 낫겟다 납치.감금만반복반복..이드라마는 가족도없다 연기못하는사람만모엿네,별 반개도 아깝다 욕나온다 이응경 길용우 연기생활이몇년인지..정말 발로해도 그것보단 낫겟다 납치.감금만반복반복..이드라마는 가족도없다 연기못하는사람만모엿네,0 (1.0),정말 발로해도 그것보단 낫겟다 납치 / 관련도 점수: 0.904 | 감금만반복반복 / 관련도 점수: 0.501 | 이드라마는 가족도없다 연기못하는사람만모엿네 / 관련도 점수: 0.562,별 반개도 아깝다 욕나온다 이응경 길용우 연기생활이몇년인지 / 관련도 점수: 0.962 | 정말 발로해도 그것보단 낫겟다 납치 / 관련도 점수: 0.967 | 이드라마는 가족도없다 연기못하는사람만모엿네 / 관련도 점수: 0.484,별 반개도 아깝다 욕나온다 이응경 길용우 연기생활이몇년인지 / 관련도 점수: 0.94 | 이드라마는 가족도없다 연기못하는사람만모엿네 / 관련도 점수: 0.794,감금만반복반복 / 관련도 점수: 0.672,"이 리뷰는 plot, acting, cinematography, soundtrack에 대한 의견을 포함하며, 전체 감성은 0로 분석되었습니다. 핵심 의견: 별 반개도 아깝다 욕나온다 이응경 길용우 연기생활이몇년인지..정말 발로해도 그것보단 낫겟다 납치.감금만반복반복..이드라마는 가족도없다 연기못하는사람만모엿네"
7156791,액션이 없는데도 재미 있는 몇안되는 영화,1,positive,액션이 없는데도 재미 있는 몇안되는 영화,액션이 없는데도 재미 있는 몇안되는 영화,1 (0.999),액션이 없는데도 재미 있는 몇안되는 영화 / 관련도 점수: 0.496,,액션이 없는데도 재미 있는 몇안되는 영화 / 관련도 점수: 0.772,,"이 리뷰는 plot, cinematography에 대한 의견을 포함하며, 전체 감성은 1로 분석되었습니다. 핵심 의견: 액션이 없는데도 재미 있는 몇안되는 영화"
5912145,왜케 평점이 낮은건데? 꽤 볼만한데.. 헐리우드식 화려함에만 너무 길들여져 있나?,1,positive,왜케 평점이 낮은건데? 꽤 볼만한데.. 헐리우드식 화려함에만 너무 길들여져 있나?,왜케 평점이 낮은건데? 꽤 볼만한데.. 헐리우드식 화려함에만 너무 길들여져 있나?,1 (0.999),꽤 볼만한데 / 관련도 점수: 0.37,꽤 볼만한데 / 관련도 점수: 0.63,꽤 볼만한데 / 관련도 점수: 0.695 | 헐리우드식 화려함에만 너무 길들여져 있나 / 관련도 점수: 0.963,,"이 리뷰는 plot, acting, cinematography에 대한 의견을 포함하며, 전체 감성은 1로 분석되었습니다. 핵심 의견: 왜케 평점이 낮은건데? 꽤 볼만한데.. 헐리우드식 화려함에만 너무 길들여져 있나?"
